url,status,message,error
https://riverdalega.justfoia.com/publicportal/home/newrequest,Failed,,"HTTPConnectionPool(host='localhost', port=62813): Read timed out. (read timeout=120)"
https://cityofmorrowga.nextrequest.com/requests/new,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://forestparkga.justfoia.com/publicportal/home/newrequest,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://cityoflovejoy.typeform.com/to/gw5qaJ?typeform-source=cityoflovejoy.com,Skipped,Unknown platform,
https://cobbcountyga.govqa.us/WEBAPP/_rs/(S(kuxusrpwlelrfnktjwxlxhsd))/SupportHome.aspx,Skipped,Unknown platform,
https://austellga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://acworthga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://kennesawga.justfoia.com/Forms/Launch/a3570e65-d44d-43d3-a822-d38e2fc1c3d3,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://smyrnaga.justfoia.com/Forms/Launch/fd208f47-7557-4edf-9478-723c87ba6b30,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://powderspringsga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://tuckerga.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
https://cityofstonecrestga.nextrequest.com/,Failed,,"Message: 
Stacktrace:
	GetHandleVerifier [0x00A834A3+25059]
	(No symbol) [0x00A0CEA4]
	(No symbol) [0x008EBEC3]
	(No symbol) [0x0092FD86]
	(No symbol) [0x0092FFCB]
	(No symbol) [0x0096D952]
	(No symbol) [0x00951F44]
	(No symbol) [0x0096B51E]
	(No symbol) [0x00951C96]
	(No symbol) [0x00923FAC]
	(No symbol) [0x00924F3D]
	GetHandleVerifier [0x00D75613+3113811]
	GetHandleVerifier [0x00D8A2DA+3199002]
	GetHandleVerifier [0x00D82AB2+3168242]
	GetHandleVerifier [0x00B23310+680016]
	(No symbol) [0x00A157ED]
	(No symbol) [0x00A12A98]
	(No symbol) [0x00A12C35]
	(No symbol) [0x00A05890]
	BaseThreadInitThunk [0x7700FCC9+25]
	RtlGetAppContainerNamedObjectPath [0x772F809E+286]
	RtlGetAppContainerNamedObjectPath [0x772F806E+238]
"
